InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Category,TotalPrice
221958,SKU_1964,White Mug,38,2020-01-01 00:00:00,1.71,37039.0,Australia,Apparel,64.98
771155,SKU_1241,White Mug,18,2020-01-01 01:00:00,41.25,19144.0,Spain,Electronics,742.5
465838,SKU_1760,Desk Lamp,14,2020-01-01 03:00:00,76.68,96586.0,Netherlands,Accessories,1073.52
744167,SKU_1006,Office Chair,47,2020-01-01 05:00:00,70.16,53887.0,Sweden,Electronics,3297.52
210268,SKU_1087,USB Cable,25,2020-01-01 06:00:00,85.74,46567.0,Belgium,Stationery,2143.5
832180,SKU_1597,Notebook,8,2020-01-01 07:00:00,95.65,75098.0,Norway,Electronics,765.2
154886,SKU_1907,Wireless Mouse,19,2020-01-01 08:00:00,98.19,87950.0,Belgium,Apparel,1865.61
237337,SKU_1866,Headphones,40,2020-01-01 09:00:00,98.17,39718.0,Italy,Apparel,3926.8
187498,SKU_1450,Office Chair,41,2020-01-01 11:00:00,59.51,32466.0,Australia,Furniture,2439.91
999159,SKU_1330,Blue Pen,41,2020-01-01 12:00:00,25.59,89794.0,Australia,Electronics,1049.19
275203,SKU_1709,Headphones,3,2020-01-01 13:00:00,2.09,97817.0,Spain,Stationery,6.27
291335,SKU_1874,Wall Clock,29,2020-01-01 14:00:00,35.88,43017.0,Portugal,Electronics,1040.52
378167,SKU_1163,T-shirt,16,2020-01-01 15:00:00,82.58,85852.0,Belgium,Furniture,1321.28
141090,SKU_1656,Office Chair,7,2020-01-01 16:00:00,70.85,15473.0,Germany,Apparel,495.94999999999993
429365,SKU_1341,Headphones,49,2020-01-01 17:00:00,14.91,55644.0,Netherlands,Stationery,730.59
164820,SKU_1000,Backpack,21,2020-01-01 18:00:00,1.07,20566.0,Sweden,Accessories,22.470000000000002
818315,SKU_1463,Notebook,14,2020-01-01 21:00:00,66.89,16604.0,Norway,Furniture,936.46
427069,SKU_1866,Wireless Mouse,39,2020-01-01 22:00:00,66.18,45103.0,Sweden,Accessories,2581.0200000000004
876997,SKU_1461,T-shirt,24,2020-01-01 23:00:00,70.01,14803.0,Norway,Stationery,1680.2400000000002
299041,SKU_1048,T-shirt,48,2020-01-02 00:00:00,27.87,26772.0,France,Electronics,1337.76
891743,SKU_1818,Blue Pen,30,2020-01-02 01:00:00,59.53,62114.0,Germany,Stationery,1785.9
203355,SKU_1326,USB Cable,33,2020-01-02 02:00:00,97.96,38576.0,Italy,Stationery,3232.68
335796,SKU_1473,Wall Clock,22,2020-01-02 03:00:00,28.73,60532.0,Netherlands,Apparel,632.0600000000001
314176,SKU_1887,Office Chair,10,2020-01-02 04:00:00,86.71,47802.0,Australia,Furniture,867.0999999999999
284779,SKU_1938,USB Cable,11,2020-01-02 05:00:00,90.69,98066.0,United States,Furniture,997.5899999999999
447449,SKU_1367,White Mug,15,2020-01-02 06:00:00,40.36,83531.0,Portugal,Stationery,605.4
521909,SKU_1286,White Mug,48,2020-01-02 07:00:00,8.39,59307.0,Netherlands,Electronics,402.72
358795,SKU_1023,Headphones,30,2020-01-02 08:00:00,99.31,61358.0,United Kingdom,Accessories,2979.3
600186,SKU_1292,Headphones,32,2020-01-02 10:00:00,82.94,26741.0,Netherlands,Electronics,2654.08
256730,SKU_1448,T-shirt,26,2020-01-02 11:00:00,35.39,28203.0,Australia,Stationery,920.14
970910,SKU_1984,Backpack,21,2020-01-02 12:00:00,61.34,87631.0,Belgium,Furniture,1288.14
484681,SKU_1062,Desk Lamp,5,2020-01-02 13:00:00,30.77,41311.0,Spain,Stationery,153.85
249503,SKU_1567,Wireless Mouse,47,2020-01-02 14:00:00,38.11,52219.0,France,Stationery,1791.17
754811,SKU_1457,T-shirt,12,2020-01-02 15:00:00,29.06,30037.0,Portugal,Stationery,348.71999999999997
627035,SKU_1529,Notebook,29,2020-01-02 16:00:00,21.32,40568.0,Spain,Furniture,618.28
748143,SKU_1873,Blue Pen,21,2020-01-02 17:00:00,36.85,89341.0,Australia,Electronics,773.85
552366,SKU_1960,Backpack,25,2020-01-02 18:00:00,86.68,69201.0,Australia,Accessories,2167.0
165725,SKU_1412,USB Cable,16,2020-01-02 19:00:00,9.08,46393.0,France,Apparel,145.28
229981,SKU_1588,Desk Lamp,31,2020-01-02 20:00:00,2.1,47167.0,Norway,Furniture,65.10000000000001
184654,SKU_1259,Wall Clock,20,2020-01-02 21:00:00,24.36,73680.0,Norway,Apparel,487.2
691723,SKU_1632,Wireless Mouse,31,2020-01-02 22:00:00,84.83,57796.0,Netherlands,Stationery,2629.73
419030,SKU_1907,Wireless Mouse,11,2020-01-02 23:00:00,93.1,18741.0,Australia,Electronics,1024.1
428947,SKU_1183,T-shirt,32,2020-01-03 00:00:00,81.47,85133.0,Italy,Electronics,2607.04
373538,SKU_1146,Headphones,8,2020-01-03 02:00:00,20.35,75852.0,Belgium,Stationery,162.8
431236,SKU_1793,Wall Clock,23,2020-01-03 03:00:00,33.63,25739.0,France,Apparel,773.49
628178,SKU_1875,Backpack,8,2020-01-03 04:00:00,68.66,79905.0,Netherlands,Stationery,549.28
665894,SKU_1805,Headphones,2,2020-01-03 05:00:00,33.4,59341.0,Sweden,Apparel,66.8
589492,SKU_1591,T-shirt,27,2020-01-03 06:00:00,49.95,28756.0,Italy,Stationery,1348.65
573254,SKU_1408,Blue Pen,35,2020-01-03 08:00:00,4.66,32638.0,Australia,Furniture,163.1
449457,SKU_1439,Desk Lamp,23,2020-01-03 09:00:00,73.48,80321.0,Italy,Stationery,1690.0400000000002
765987,SKU_1457,Blue Pen,41,2020-01-03 10:00:00,11.4,35294.0,Germany,Accessories,467.40000000000003
370936,SKU_1228,Backpack,48,2020-01-03 11:00:00,28.29,47376.0,Belgium,Apparel,1357.92
339931,SKU_1283,Office Chair,13,2020-01-03 12:00:00,1.47,46641.0,Spain,Stationery,19.11
339629,SKU_1572,Notebook,31,2020-01-03 13:00:00,55.33,72552.0,Italy,Furniture,1715.23
798361,SKU_1344,Office Chair,30,2020-01-03 15:00:00,45.18,64580.0,Netherlands,Furniture,1355.4
831912,SKU_1600,Wireless Mouse,6,2020-01-03 16:00:00,78.9,54809.0,Italy,Accessories,473.40000000000003
517113,SKU_1946,Notebook,20,2020-01-03 17:00:00,39.0,43390.0,Italy,Electronics,780.0
168148,SKU_1907,Wireless Mouse,26,2020-01-03 18:00:00,25.56,59957.0,United States,Electronics,664.56
877089,SKU_1263,Office Chair,36,2020-01-03 19:00:00,34.13,68005.0,Italy,Apparel,1228.68
748531,SKU_1739,USB Cable,19,2020-01-03 20:00:00,69.38,96641.0,Norway,Furniture,1318.2199999999998
351995,SKU_1377,USB Cable,22,2020-01-03 21:00:00,94.81,33544.0,Germany,Accessories,2085.82
778843,SKU_1102,Wall Clock,12,2020-01-03 22:00:00,70.77,94953.0,Germany,Electronics,849.24
356508,SKU_1599,T-shirt,5,2020-01-04 00:00:00,61.05,55140.0,Spain,Electronics,305.25
903591,SKU_1022,T-shirt,5,2020-01-04 01:00:00,94.77,55936.0,Portugal,Electronics,473.84999999999997
996942,SKU_1292,White Mug,43,2020-01-04 02:00:00,15.02,34933.0,Australia,Furniture,645.86
206530,SKU_1266,Notebook,23,2020-01-04 03:00:00,24.56,14443.0,Sweden,Stationery,564.88
704365,SKU_1528,Office Chair,14,2020-01-04 04:00:00,66.41,16761.0,United Kingdom,Furniture,929.74
922352,SKU_1475,White Mug,49,2020-01-04 05:00:00,49.41,80434.0,United Kingdom,Stationery,2421.0899999999997
560337,SKU_1951,Blue Pen,39,2020-01-04 06:00:00,36.99,83214.0,Belgium,Accessories,1442.6100000000001
824839,SKU_1948,Blue Pen,7,2020-01-04 07:00:00,36.14,48511.0,United States,Furniture,252.98000000000002
559773,SKU_1897,Wireless Mouse,38,2020-01-04 09:00:00,81.28,42562.0,Sweden,Furniture,3088.64
864469,SKU_1312,USB Cable,17,2020-01-04 11:00:00,8.62,35193.0,Belgium,Stationery,146.54
441097,SKU_1161,T-shirt,7,2020-01-04 12:00:00,15.96,30966.0,United Kingdom,Electronics,111.72
415139,SKU_1589,USB Cable,20,2020-01-04 13:00:00,49.92,62514.0,Germany,Electronics,998.4000000000001
271829,SKU_1121,T-shirt,34,2020-01-04 14:00:00,13.63,61596.0,Norway,Stationery,463.42
371836,SKU_1480,T-shirt,30,2020-01-04 15:00:00,83.42,62583.0,United Kingdom,Electronics,2502.6
538974,SKU_1111,Wireless Mouse,40,2020-01-04 16:00:00,91.57,82963.0,Norway,Accessories,3662.7999999999997
302283,SKU_1238,T-shirt,13,2020-01-04 17:00:00,7.54,89681.0,Belgium,Stationery,98.02
296769,SKU_1209,White Mug,6,2020-01-04 18:00:00,87.27,79200.0,Belgium,Electronics,523.62
661353,SKU_1348,White Mug,27,2020-01-04 19:00:00,68.95,28796.0,United States,Stationery,1861.65
323165,SKU_1510,Backpack,18,2020-01-04 20:00:00,33.22,76428.0,France,Stationery,597.96
723587,SKU_1001,Blue Pen,24,2020-01-04 21:00:00,25.98,46156.0,Italy,Furniture,623.52
635822,SKU_1891,Office Chair,32,2020-01-04 22:00:00,41.15,97271.0,United Kingdom,Accessories,1316.8
587879,SKU_1714,Wall Clock,39,2020-01-04 23:00:00,60.36,90167.0,Sweden,Apparel,2354.04
882038,SKU_1628,White Mug,34,2020-01-05 01:00:00,88.14,41384.0,Netherlands,Furniture,2996.76
453531,SKU_1880,Wall Clock,21,2020-01-05 02:00:00,3.75,84562.0,Portugal,Electronics,78.75
363160,SKU_1460,USB Cable,28,2020-01-05 03:00:00,7.96,97931.0,Portugal,Furniture,222.88
679879,SKU_1811,Backpack,5,2020-01-05 04:00:00,48.24,14493.0,Belgium,Stationery,241.20000000000002
320884,SKU_1894,Office Chair,42,2020-01-05 05:00:00,34.93,71731.0,France,Accessories,1467.06
567281,SKU_1481,T-shirt,43,2020-01-05 08:00:00,57.77,97562.0,United States,Furniture,2484.11
707086,SKU_1949,Notebook,48,2020-01-05 09:00:00,15.68,90838.0,Portugal,Apparel,752.64
633556,SKU_1948,USB Cable,34,2020-01-05 10:00:00,85.06,64838.0,United Kingdom,Accessories,2892.04
448951,SKU_1625,White Mug,22,2020-01-05 11:00:00,35.03,30725.0,France,Furniture,770.6600000000001
374329,SKU_1585,Blue Pen,23,2020-01-05 12:00:00,49.73,59407.0,Italy,Electronics,1143.79
819064,SKU_1971,Headphones,9,2020-01-05 13:00:00,57.1,90824.0,Sweden,Accessories,513.9
532315,SKU_1981,Backpack,14,2020-01-05 15:00:00,12.16,70672.0,Norway,Apparel,170.24
616588,SKU_1813,USB Cable,20,2020-01-05 16:00:00,84.61,19020.0,Norway,Stationery,1692.2
336584,SKU_1053,Notebook,26,2020-01-05 17:00:00,7.36,90743.0,Germany,Apparel,191.36
662332,SKU_1670,Wireless Mouse,41,2020-01-05 18:00:00,22.68,64659.0,Netherlands,Stationery,929.88
937646,SKU_1466,Wireless Mouse,7,2020-01-05 19:00:00,10.74,90633.0,United Kingdom,Accessories,75.18
476896,SKU_1108,Blue Pen,24,2020-01-05 20:00:00,76.55,54727.0,United States,Accessories,1837.1999999999998
148984,SKU_1279,White Mug,9,2020-01-05 21:00:00,71.63,10961.0,Belgium,Apparel,644.67
364712,SKU_1674,Office Chair,7,2020-01-05 23:00:00,78.42,25714.0,Norway,Stationery,548.94
220151,SKU_1056,Wireless Mouse,37,2020-01-06 00:00:00,91.0,33058.0,Italy,Apparel,3367.0
555808,SKU_1839,Notebook,4,2020-01-06 01:00:00,19.27,83367.0,France,Accessories,77.08
233767,SKU_1836,Wall Clock,11,2020-01-06 02:00:00,37.38,15608.0,Sweden,Electronics,411.18
748663,SKU_1213,Headphones,4,2020-01-06 03:00:00,53.39,49169.0,Netherlands,Furniture,213.56
803550,SKU_1507,White Mug,28,2020-01-06 04:00:00,31.18,70906.0,Spain,Stationery,873.04
236330,SKU_1027,Backpack,49,2020-01-06 05:00:00,66.8,39946.0,Netherlands,Stationery,3273.2
580754,SKU_1203,Wall Clock,27,2020-01-06 06:00:00,83.54,67934.0,Netherlands,Stationery,2255.5800000000004
401648,SKU_1544,Headphones,17,2020-01-06 07:00:00,73.34,30303.0,Norway,Furniture,1246.78
788519,SKU_1308,Notebook,40,2020-01-06 08:00:00,94.43,62272.0,United States,Apparel,3777.2000000000003
113986,SKU_1633,T-shirt,6,2020-01-06 09:00:00,39.39,43069.0,United Kingdom,Electronics,236.34
686146,SKU_1527,USB Cable,17,2020-01-06 10:00:00,19.05,25812.0,France,Accessories,323.85
229312,SKU_1665,Headphones,43,2020-01-06 11:00:00,87.12,78376.0,Germany,Electronics,3746.1600000000003
112666,SKU_1907,T-shirt,12,2020-01-06 12:00:00,98.82,63965.0,Germany,Apparel,1185.84
400804,SKU_1342,Desk Lamp,40,2020-01-06 13:00:00,45.27,58575.0,France,Apparel,1810.8000000000002
234633,SKU_1217,White Mug,1,2020-01-06 14:00:00,19.89,55924.0,Australia,Stationery,19.89
388998,SKU_1616,Desk Lamp,29,2020-01-06 15:00:00,29.51,52354.0,Australia,Accessories,855.7900000000001
950937,SKU_1588,Wall Clock,26,2020-01-06 16:00:00,44.69,78432.0,France,Electronics,1161.94
728776,SKU_1086,Wall Clock,8,2020-01-06 17:00:00,14.92,75894.0,France,Accessories,119.36
807611,SKU_1030,T-shirt,30,2020-01-06 18:00:00,39.72,18762.0,Portugal,Stationery,1191.6
384806,SKU_1099,Notebook,30,2020-01-06 19:00:00,69.96,15347.0,France,Stationery,2098.7999999999997
894824,SKU_1666,Office Chair,4,2020-01-06 20:00:00,52.48,60989.0,Spain,Apparel,209.92
130535,SKU_1803,White Mug,24,2020-01-06 21:00:00,78.64,53955.0,Australia,Stationery,1887.3600000000001
475713,SKU_1314,Wall Clock,26,2020-01-06 22:00:00,11.49,83421.0,France,Apparel,298.74
938688,SKU_1494,Desk Lamp,8,2020-01-06 23:00:00,84.06,62215.0,Sweden,Stationery,672.48
921654,SKU_1470,Blue Pen,18,2020-01-07 01:00:00,36.0,24841.0,Netherlands,Accessories,648.0
701661,SKU_1741,Desk Lamp,34,2020-01-07 02:00:00,59.68,25661.0,Norway,Stationery,2029.12
589570,SKU_1733,Wall Clock,40,2020-01-07 04:00:00,16.31,72722.0,Italy,Apparel,652.4
556551,SKU_1632,USB Cable,9,2020-01-07 05:00:00,3.0,37447.0,Spain,Accessories,27.0
373109,SKU_1671,White Mug,20,2020-01-07 06:00:00,28.4,44898.0,Netherlands,Electronics,568.0
124538,SKU_1782,T-shirt,40,2020-01-07 07:00:00,33.55,48163.0,Australia,Furniture,1342.0
301664,SKU_1330,White Mug,46,2020-01-07 09:00:00,76.94,96058.0,United Kingdom,Electronics,3539.24
591234,SKU_1193,Wall Clock,2,2020-01-07 10:00:00,65.92,73431.0,Sweden,Furniture,131.84
999684,SKU_1729,Blue Pen,43,2020-01-07 11:00:00,21.13,10263.0,Sweden,Accessories,908.5899999999999
239182,SKU_1190,T-shirt,39,2020-01-07 12:00:00,16.36,97116.0,Italy,Furniture,638.04
572525,SKU_1251,Wall Clock,21,2020-01-07 13:00:00,49.16,40318.0,Portugal,Furniture,1032.36
258338,SKU_1737,Blue Pen,14,2020-01-07 14:00:00,85.66,99357.0,United Kingdom,Electronics,1199.24
284064,SKU_1000,Blue Pen,30,2020-01-07 15:00:00,38.2,35788.0,France,Stationery,1146.0
314020,SKU_1458,White Mug,42,2020-01-07 16:00:00,63.34,27891.0,United States,Accessories,2660.28
723094,SKU_1644,Blue Pen,46,2020-01-07 17:00:00,23.1,11617.0,United States,Furniture,1062.6000000000001
997421,SKU_1089,Notebook,17,2020-01-07 18:00:00,90.61,53537.0,Italy,Furniture,1540.37
715270,SKU_1517,T-shirt,33,2020-01-07 19:00:00,81.72,99835.0,Portugal,Stationery,2696.7599999999998
219176,SKU_1755,White Mug,42,2020-01-07 21:00:00,2.07,72043.0,United Kingdom,Electronics,86.94
318126,SKU_1644,Headphones,48,2020-01-07 22:00:00,49.42,75448.0,France,Electronics,2372.16
222409,SKU_1072,Headphones,8,2020-01-08 00:00:00,84.97,94303.0,Netherlands,Furniture,679.76
647707,SKU_1155,Wall Clock,4,2020-01-08 01:00:00,18.03,23776.0,Australia,Accessories,72.12
353618,SKU_1722,Office Chair,39,2020-01-08 02:00:00,72.72,32464.0,Italy,Stationery,2836.08
869598,SKU_1068,White Mug,42,2020-01-08 03:00:00,25.56,43533.0,Italy,Accessories,1073.52
150015,SKU_1470,Backpack,11,2020-01-08 04:00:00,83.63,78931.0,France,Apparel,919.93
222096,SKU_1299,T-shirt,4,2020-01-08 06:00:00,5.05,58610.0,Norway,Stationery,20.2
731347,SKU_1143,Office Chair,47,2020-01-08 07:00:00,5.68,20524.0,United Kingdom,Apparel,266.96
210687,SKU_1205,Office Chair,13,2020-01-08 09:00:00,89.57,92943.0,Portugal,Apparel,1164.4099999999999
974371,SKU_1917,Backpack,31,2020-01-08 10:00:00,74.85,17169.0,France,Electronics,2320.35
511357,SKU_1712,Wireless Mouse,4,2020-01-08 11:00:00,97.17,37427.0,Sweden,Furniture,388.68
835716,SKU_1750,Desk Lamp,16,2020-01-08 12:00:00,91.5,25077.0,France,Furniture,1464.0
827270,SKU_1938,White Mug,49,2020-01-08 14:00:00,2.23,44711.0,Spain,Stationery,109.27
298286,SKU_1579,Wireless Mouse,42,2020-01-08 15:00:00,19.62,46971.0,Netherlands,Electronics,824.0400000000001
873290,SKU_1682,Wall Clock,22,2020-01-08 16:00:00,22.65,20383.0,United Kingdom,Accessories,498.29999999999995
874684,SKU_1921,Desk Lamp,30,2020-01-08 17:00:00,28.71,54324.0,Italy,Accessories,861.3000000000001
264899,SKU_1296,Backpack,16,2020-01-08 18:00:00,27.83,90909.0,United Kingdom,Stationery,445.28
424767,SKU_1581,White Mug,4,2020-01-08 19:00:00,19.9,22909.0,Sweden,Electronics,79.6
961882,SKU_1798,Wall Clock,25,2020-01-08 20:00:00,49.1,58651.0,Germany,Electronics,1227.5
979858,SKU_1528,White Mug,39,2020-01-08 21:00:00,96.14,48100.0,Italy,Electronics,3749.46
479989,SKU_1136,Headphones,42,2020-01-08 22:00:00,5.56,58025.0,Italy,Accessories,233.51999999999998
143585,SKU_1822,Wall Clock,48,2020-01-09 00:00:00,37.1,77521.0,Sweden,Electronics,1780.8000000000002
471369,SKU_1517,White Mug,23,2020-01-09 01:00:00,61.35,26697.0,United Kingdom,Electronics,1411.05
164044,SKU_1709,Office Chair,46,2020-01-09 02:00:00,14.32,81596.0,United States,Stationery,658.72
209556,SKU_1131,Headphones,2,2020-01-09 04:00:00,14.2,91737.0,United States,Furniture,28.4
626981,SKU_1362,Backpack,32,2020-01-09 05:00:00,21.19,47742.0,Australia,Furniture,678.08
300235,SKU_1695,T-shirt,8,2020-01-09 08:00:00,26.85,41093.0,Sweden,Electronics,214.8
125939,SKU_1017,USB Cable,39,2020-01-09 09:00:00,61.55,90478.0,Netherlands,Accessories,2400.45
252906,SKU_1415,Office Chair,4,2020-01-09 10:00:00,25.53,14917.0,Sweden,Furniture,102.12
642335,SKU_1724,Notebook,27,2020-01-09 11:00:00,92.74,58567.0,Australia,Electronics,2503.98
388249,SKU_1559,Wireless Mouse,36,2020-01-09 12:00:00,5.48,39410.0,Italy,Furniture,197.28000000000003
508923,SKU_1927,White Mug,48,2020-01-09 14:00:00,33.36,70633.0,Norway,Furniture,1601.28
668550,SKU_1331,Notebook,8,2020-01-09 16:00:00,11.0,92576.0,Netherlands,Furniture,88.0
487261,SKU_1749,Notebook,14,2020-01-09 17:00:00,39.81,87074.0,Italy,Stationery,557.34
910208,SKU_1318,USB Cable,49,2020-01-09 18:00:00,73.62,52179.0,United States,Electronics,3607.38
785440,SKU_1776,Wireless Mouse,38,2020-01-09 19:00:00,68.71,24634.0,United States,Stationery,2610.9799999999996
752664,SKU_1198,Office Chair,3,2020-01-09 20:00:00,91.96,87303.0,United States,Apparel,275.88
554589,SKU_1525,Headphones,45,2020-01-09 21:00:00,6.88,47080.0,Sweden,Stationery,309.6
237848,SKU_1787,Headphones,10,2020-01-09 22:00:00,90.41,17613.0,France,Accessories,904.0999999999999
717075,SKU_1979,White Mug,33,2020-01-09 23:00:00,45.68,26578.0,Netherlands,Apparel,1507.44
679304,SKU_1138,T-shirt,38,2020-01-10 01:00:00,43.62,22601.0,Germany,Stationery,1657.56
502690,SKU_1166,Backpack,27,2020-01-10 02:00:00,69.79,62939.0,Germany,Accessories,1884.3300000000002
599046,SKU_1146,White Mug,30,2020-01-10 03:00:00,45.35,65807.0,Belgium,Apparel,1360.5
551269,SKU_1402,Backpack,10,2020-01-10 04:00:00,97.8,16090.0,Australia,Accessories,978.0
121959,SKU_1756,Office Chair,40,2020-01-10 05:00:00,68.35,59504.0,Australia,Apparel,2734.0
760890,SKU_1938,Desk Lamp,40,2020-01-10 06:00:00,60.98,45168.0,Belgium,Accessories,2439.2
850216,SKU_1444,Headphones,14,2020-01-10 07:00:00,16.59,27505.0,Germany,Furniture,232.26
637833,SKU_1832,Blue Pen,11,2020-01-10 10:00:00,38.46,96110.0,Portugal,Apparel,423.06
265838,SKU_1918,White Mug,31,2020-01-10 11:00:00,76.92,40269.0,France,Accessories,2384.52
